year,cluster,month,month_abb,type,track
1995,2,1,Jan,non_eddy,
1996,8,1,Jan,non_eddy,
1997,5,1,Jan,cyclonic,115201
1998,8,1,Jan,non_eddy,
1999,7,1,Jan,cyclonic,165019
2000,8,1,Jan,anticyclonic,193465
2003,1,1,Jan,cyclonic,294740
2004,6,1,Jan,cyclonic,326255
2005,2,1,Jan,non_eddy,
2006,2,1,Jan,anticyclonic,352528
2007,5,1,Jan,cyclonic,380710
2008,8,1,Jan,cyclonic,432825
2012,3,1,Jan,anticyclonic,524328
2013,4,1,Jan,anticyclonic,553694
2013,4,1,Jan,cyclonic,576163
2017,5,1,Jan,non_eddy,
2018,8,1,Jan,anticyclonic,691894
2019,1,1,Jan,cyclonic,762048
2020,6,1,Jan,non_eddy,
2021,9,1,Jan,anticyclonic,766919
2022,6,1,Jan,non_eddy,
1993,7,10,Oct,anticyclonic,22672
1995,1,10,Oct,non_eddy,
1996,4,10,Oct,anticyclonic,104976
1997,1,10,Oct,non_eddy,
1998,7,10,Oct,non_eddy,
1999,2,10,Oct,cyclonic,198420
2000,6,10,Oct,anticyclonic,199883
2001,7,10,Oct,non_eddy,
2002,2,10,Oct,anticyclonic,256415
2003,7,10,Oct,cyclonic,316244
2004,3,10,Oct,cyclonic,337462
2005,2,10,Oct,anticyclonic,343634
2006,7,10,Oct,non_eddy,
2007,6,10,Oct,anticyclonic,403972
2008,5,10,Oct,non_eddy,
2009,6,10,Oct,anticyclonic,463755
2010,7,10,Oct,non_eddy,
2011,6,10,Oct,anticyclonic,518370
2012,4,10,Oct,anticyclonic,544360
2013,5,10,Oct,cyclonic,611800
2014,5,10,Oct,anticyclonic,585558
2014,5,10,Oct,cyclonic,637882
2016,2,10,Oct,anticyclonic,639170
2016,2,10,Oct,anticyclonic,652580
2016,2,10,Oct,cyclonic,699792
2017,4,10,Oct,anticyclonic,682450
2018,6,10,Oct,anticyclonic,700931
2019,7,10,Oct,cyclonic,783219
2020,7,10,Oct,cyclonic,813728
2021,7,10,Oct,non_eddy,
2022,4,10,Oct,non_eddy,
1993,5,11,Nov,non_eddy,
1994,1,11,Nov,non_eddy,
1995,3,11,Nov,non_eddy,
1996,4,11,Nov,anticyclonic,104976
1996,4,11,Nov,anticyclonic,109709
1997,7,11,Nov,anticyclonic,129016
1998,6,11,Nov,non_eddy,
1999,2,11,Nov,anticyclonic,193465
1999,2,11,Nov,cyclonic,198420
2000,1,11,Nov,anticyclonic,199883
2000,1,11,Nov,cyclonic,230976
2001,6,11,Nov,non_eddy,
2002,3,11,Nov,anticyclonic,256415
2003,2,11,Nov,cyclonic,321235
2004,6,11,Nov,anticyclonic,330777
2005,7,11,Nov,anticyclonic,343634
2006,2,11,Nov,non_eddy,
2007,2,11,Nov,anticyclonic,403972
2007,2,11,Nov,cyclonic,427610
2008,2,11,Nov,non_eddy,
2009,3,11,Nov,anticyclonic,463755
2010,6,11,Nov,non_eddy,
2011,7,11,Nov,anticyclonic,518370
2012,6,11,Nov,anticyclonic,544360
2012,6,11,Nov,cyclonic,576163
2013,1,11,Nov,cyclonic,611800
2014,6,11,Nov,anticyclonic,585558
2015,5,11,Nov,cyclonic,650623
2016,7,11,Nov,anticyclonic,639170
2016,7,11,Nov,cyclonic,699792
2017,3,11,Nov,anticyclonic,689164
2018,6,11,Nov,anticyclonic,700931
2019,2,11,Nov,cyclonic,774513
2020,6,11,Nov,non_eddy,
2021,2,11,Nov,non_eddy,
2022,7,11,Nov,non_eddy,
1993,3,12,Dec,non_eddy,
1994,1,12,Dec,non_eddy,
1995,2,12,Dec,non_eddy,
1997,7,12,Dec,anticyclonic,129016
1998,1,12,Dec,cyclonic,165019
1999,2,12,Dec,anticyclonic,193465
2000,1,12,Dec,cyclonic,230976
2001,5,12,Dec,non_eddy,
2002,2,12,Dec,anticyclonic,256415
2002,2,12,Dec,cyclonic,294740
2003,3,12,Dec,cyclonic,321235
2004,1,12,Dec,anticyclonic,330777
2005,2,12,Dec,anticyclonic,352528
2006,4,12,Dec,cyclonic,380710
2007,1,12,Dec,cyclonic,427610
2008,1,12,Dec,cyclonic,465151
2009,4,12,Dec,anticyclonic,463755
2010,1,12,Dec,non_eddy,
2011,4,12,Dec,non_eddy,
2012,1,12,Dec,cyclonic,576163
2013,3,12,Dec,non_eddy,
2014,4,12,Dec,anticyclonic,585558
2015,6,12,Dec,cyclonic,650623
2016,2,12,Dec,anticyclonic,639170
2016,2,12,Dec,cyclonic,701702
2017,5,12,Dec,anticyclonic,689164
2017,5,12,Dec,anticyclonic,691894
2018,1,12,Dec,cyclonic,762048
2019,2,12,Dec,cyclonic,774513
2020,2,12,Dec,non_eddy,
2021,4,12,Dec,non_eddy,
2022,4,12,Dec,non_eddy,
1993,6,2,Feb,non_eddy,
1995,4,2,Feb,non_eddy,
1996,6,2,Feb,cyclonic,75182
1997,5,2,Feb,cyclonic,115201
1998,6,2,Feb,anticyclonic,143614
1999,4,2,Feb,cyclonic,165019
2000,7,2,Feb,non_eddy,
2001,3,2,Feb,cyclonic,233914
2002,1,2,Feb,non_eddy,
2003,7,2,Feb,cyclonic,294740
2004,3,2,Feb,cyclonic,326255
2005,4,2,Feb,non_eddy,
2006,3,2,Feb,non_eddy,
2007,5,2,Feb,cyclonic,380710
2008,3,2,Feb,cyclonic,432825
2009,3,2,Feb,cyclonic,465151
2010,7,2,Feb,anticyclonic,464841
2012,2,2,Feb,anticyclonic,524328
2013,6,2,Feb,anticyclonic,553694
2015,6,2,Feb,non_eddy,
2017,4,2,Feb,non_eddy,
2018,5,2,Feb,anticyclonic,691894
2018,5,2,Feb,cyclonic,731163
2019,3,2,Feb,non_eddy,
2020,7,2,Feb,cyclonic,797675
2021,7,2,Feb,anticyclonic,766919
2021,7,2,Feb,cyclonic,805430
1993,3,3,Mar,non_eddy,
1994,5,3,Mar,non_eddy,
1995,9,3,Mar,non_eddy,
1996,3,3,Mar,cyclonic,75182
