year,cluster,month,month_abb,type,track
1993,7,10,Oct,anticyclonic,22672
1995,1,10,Oct,non_eddy,
1996,4,10,Oct,anticyclonic,104976
1997,1,10,Oct,non_eddy,
1998,7,10,Oct,non_eddy,
1999,2,10,Oct,cyclonic,198420
2000,6,10,Oct,anticyclonic,199883
2001,7,10,Oct,non_eddy,
2002,2,10,Oct,anticyclonic,256415
2003,7,10,Oct,cyclonic,316244
2004,3,10,Oct,cyclonic,337462
2005,2,10,Oct,anticyclonic,343634
2006,7,10,Oct,non_eddy,
2007,6,10,Oct,anticyclonic,403972
2008,5,10,Oct,non_eddy,
2009,6,10,Oct,anticyclonic,463755
2010,7,10,Oct,non_eddy,
2011,6,10,Oct,anticyclonic,518370
2012,4,10,Oct,anticyclonic,544360
2013,5,10,Oct,cyclonic,611800
2014,5,10,Oct,anticyclonic,585558
2014,5,10,Oct,cyclonic,637882
2016,2,10,Oct,anticyclonic,639170
2016,2,10,Oct,anticyclonic,652580
2016,2,10,Oct,cyclonic,699792
2017,4,10,Oct,anticyclonic,682450
2018,6,10,Oct,anticyclonic,700931
2019,7,10,Oct,cyclonic,783219
2020,7,10,Oct,cyclonic,813728
2021,7,10,Oct,non_eddy,
2022,4,10,Oct,non_eddy,
