year,cluster,month,month_abb,type,track
1993,5,11,Nov,non_eddy,
1994,1,11,Nov,non_eddy,
1995,3,11,Nov,non_eddy,
1996,4,11,Nov,anticyclonic,104976
1996,4,11,Nov,anticyclonic,109709
1997,7,11,Nov,anticyclonic,129016
1998,6,11,Nov,non_eddy,
1999,2,11,Nov,anticyclonic,193465
1999,2,11,Nov,cyclonic,198420
2000,1,11,Nov,anticyclonic,199883
2000,1,11,Nov,cyclonic,230976
2001,6,11,Nov,non_eddy,
2002,3,11,Nov,anticyclonic,256415
2003,2,11,Nov,cyclonic,321235
2004,6,11,Nov,anticyclonic,330777
2005,7,11,Nov,anticyclonic,343634
2006,2,11,Nov,non_eddy,
2007,2,11,Nov,anticyclonic,403972
2007,2,11,Nov,cyclonic,427610
2008,2,11,Nov,non_eddy,
2009,3,11,Nov,anticyclonic,463755
2010,6,11,Nov,non_eddy,
2011,7,11,Nov,anticyclonic,518370
2012,6,11,Nov,anticyclonic,544360
2012,6,11,Nov,cyclonic,576163
2013,1,11,Nov,cyclonic,611800
2014,6,11,Nov,anticyclonic,585558
2015,5,11,Nov,cyclonic,650623
2016,7,11,Nov,anticyclonic,639170
2016,7,11,Nov,cyclonic,699792
2017,3,11,Nov,anticyclonic,689164
2018,6,11,Nov,anticyclonic,700931
2019,2,11,Nov,cyclonic,774513
2020,6,11,Nov,non_eddy,
2021,2,11,Nov,non_eddy,
2022,7,11,Nov,non_eddy,
