year,cluster,month,month_abb,type,track
1993,3,12,Dec,non_eddy,
1994,1,12,Dec,non_eddy,
1995,2,12,Dec,non_eddy,
1997,7,12,Dec,anticyclonic,129016
1998,1,12,Dec,cyclonic,165019
1999,2,12,Dec,anticyclonic,193465
2000,1,12,Dec,cyclonic,230976
2001,5,12,Dec,non_eddy,
2002,2,12,Dec,anticyclonic,256415
2002,2,12,Dec,cyclonic,294740
2003,3,12,Dec,cyclonic,321235
2004,1,12,Dec,anticyclonic,330777
2005,2,12,Dec,anticyclonic,352528
2006,4,12,Dec,cyclonic,380710
2007,1,12,Dec,cyclonic,427610
2008,1,12,Dec,cyclonic,465151
2009,4,12,Dec,anticyclonic,463755
2010,1,12,Dec,non_eddy,
2011,4,12,Dec,non_eddy,
2012,1,12,Dec,cyclonic,576163
2013,3,12,Dec,non_eddy,
2014,4,12,Dec,anticyclonic,585558
2015,6,12,Dec,cyclonic,650623
2016,2,12,Dec,anticyclonic,639170
2016,2,12,Dec,cyclonic,701702
2017,5,12,Dec,anticyclonic,689164
2017,5,12,Dec,anticyclonic,691894
2018,1,12,Dec,cyclonic,762048
2019,2,12,Dec,cyclonic,774513
2020,2,12,Dec,non_eddy,
2021,4,12,Dec,non_eddy,
2022,4,12,Dec,non_eddy,
