year,cluster,month,month_abb,type,track
1995,2,1,Jan,non_eddy,
1996,8,1,Jan,non_eddy,
1997,5,1,Jan,cyclonic,115201
1998,8,1,Jan,non_eddy,
1999,7,1,Jan,cyclonic,165019
2000,8,1,Jan,anticyclonic,193465
2003,1,1,Jan,cyclonic,294740
2004,6,1,Jan,cyclonic,326255
2005,2,1,Jan,non_eddy,
2006,2,1,Jan,anticyclonic,352528
2007,5,1,Jan,cyclonic,380710
2008,8,1,Jan,cyclonic,432825
2012,3,1,Jan,anticyclonic,524328
2013,4,1,Jan,anticyclonic,553694
2013,4,1,Jan,cyclonic,576163
2017,5,1,Jan,non_eddy,
2018,8,1,Jan,anticyclonic,691894
2019,1,1,Jan,cyclonic,762048
2020,6,1,Jan,non_eddy,
2021,9,1,Jan,anticyclonic,766919
2022,6,1,Jan,non_eddy,
