year,cluster,month,month_abb,type,track
1993,6,2,Feb,non_eddy,
1995,4,2,Feb,non_eddy,
1996,6,2,Feb,cyclonic,75182
1997,5,2,Feb,cyclonic,115201
1998,6,2,Feb,anticyclonic,143614
1999,4,2,Feb,cyclonic,165019
2000,7,2,Feb,non_eddy,
2001,3,2,Feb,cyclonic,233914
2002,1,2,Feb,non_eddy,
2003,7,2,Feb,cyclonic,294740
2004,3,2,Feb,cyclonic,326255
2005,4,2,Feb,non_eddy,
2006,3,2,Feb,non_eddy,
2007,5,2,Feb,cyclonic,380710
2008,3,2,Feb,cyclonic,432825
2009,3,2,Feb,cyclonic,465151
2010,7,2,Feb,anticyclonic,464841
2012,2,2,Feb,anticyclonic,524328
2013,6,2,Feb,anticyclonic,553694
2015,6,2,Feb,non_eddy,
2017,4,2,Feb,non_eddy,
2018,5,2,Feb,anticyclonic,691894
2018,5,2,Feb,cyclonic,731163
2019,3,2,Feb,non_eddy,
2020,7,2,Feb,cyclonic,797675
2021,7,2,Feb,anticyclonic,766919
2021,7,2,Feb,cyclonic,805430
