year,cluster,month,month_abb,type,track
1993,3,3,Mar,non_eddy,
1994,5,3,Mar,non_eddy,
1995,9,3,Mar,non_eddy,
1996,3,3,Mar,cyclonic,75182
1996,3,3,Mar,cyclonic,97274
1997,3,3,Mar,cyclonic,115201
1998,3,3,Mar,non_eddy,
1999,2,3,Mar,non_eddy,
2000,8,3,Mar,anticyclonic,192535
2000,8,3,Mar,cyclonic,213318
2001,7,3,Mar,cyclonic,233914
2002,4,3,Mar,non_eddy,
2003,4,3,Mar,cyclonic,295303
2004,5,3,Mar,anticyclonic,304229
2004,5,3,Mar,cyclonic,326255
2005,2,3,Mar,non_eddy,
2007,7,3,Mar,cyclonic,380710
2008,3,3,Mar,cyclonic,432825
2009,8,3,Mar,cyclonic,465151
2010,9,3,Mar,non_eddy,
2011,6,3,Mar,anticyclonic,494582
2011,6,3,Mar,anticyclonic,503299
2012,8,3,Mar,anticyclonic,524328
2013,3,3,Mar,anticyclonic,553694
2014,6,3,Mar,non_eddy,
2015,3,3,Mar,cyclonic,639018
2016,6,3,Mar,anticyclonic,614807
2016,6,3,Mar,cyclonic,650623
2018,1,3,Mar,cyclonic,731163
2019,9,3,Mar,anticyclonic,724446
2019,9,3,Mar,cyclonic,770399
2021,1,3,Mar,cyclonic,805430
2022,9,3,Mar,non_eddy,
