year,cluster,month,month_abb,type,track
1994,4,4,Apr,non_eddy,
1995,2,4,Apr,non_eddy,
1996,1,4,Apr,cyclonic,97274
1996,1,4,Apr,cyclonic,100246
1997,2,4,Apr,anticyclonic,103198
1998,4,4,Apr,non_eddy,
1999,4,4,Apr,cyclonic,187370
2000,1,4,Apr,anticyclonic,192535
2000,1,4,Apr,cyclonic,213318
2001,5,4,Apr,anticyclonic,231365
2001,5,4,Apr,cyclonic,233914
2002,4,4,Apr,anticyclonic,259449
2003,1,4,Apr,cyclonic,295303
2004,4,4,Apr,anticyclonic,304229
2005,2,4,Apr,anticyclonic,325318
2006,1,4,Apr,non_eddy,
2007,6,4,Apr,anticyclonic,392549
2007,6,4,Apr,cyclonic,380710
2008,4,4,Apr,non_eddy,
2009,3,4,Apr,anticyclonic,447795
2010,1,4,Apr,non_eddy,
2011,2,4,Apr,anticyclonic,503299
2011,2,4,Apr,cyclonic,534207
2011,2,4,Apr,cyclonic,535619
2012,4,4,Apr,anticyclonic,530416
2013,1,4,Apr,non_eddy,
2014,4,4,Apr,non_eddy,
2015,2,4,Apr,non_eddy,
2016,3,4,Apr,anticyclonic,614807
2017,3,4,Apr,anticyclonic,657492
2018,5,4,Apr,cyclonic,731163
2019,1,4,Apr,cyclonic,770399
2021,1,4,Apr,cyclonic,805430
2022,4,4,Apr,non_eddy,
