year,cluster,month,month_abb,type,track
1993,1,5,May,non_eddy,
1994,3,5,May,anticyclonic,12178
1995,1,5,May,anticyclonic,54799
1996,3,5,May,cyclonic,100246
1997,4,5,May,anticyclonic,103198
1998,1,5,May,non_eddy,
1999,2,5,May,cyclonic,187370
2000,4,5,May,anticyclonic,192535
2000,4,5,May,cyclonic,213318
2001,3,5,May,anticyclonic,231365
2001,3,5,May,cyclonic,233914
2002,4,5,May,anticyclonic,243074
2002,4,5,May,anticyclonic,259449
2003,3,5,May,non_eddy,
2004,2,5,May,non_eddy,
2005,3,5,May,anticyclonic,325318
2006,1,5,May,anticyclonic,369690
2007,4,5,May,anticyclonic,392549
2008,2,5,May,non_eddy,
2009,4,5,May,anticyclonic,447795
2010,5,5,May,non_eddy,
2011,2,5,May,cyclonic,534207
2011,2,5,May,cyclonic,535619
2012,1,5,May,non_eddy,
2013,3,5,May,anticyclonic,557202
2013,3,5,May,cyclonic,598228
2014,1,5,May,non_eddy,
2015,4,5,May,cyclonic,656753
2016,2,5,May,cyclonic,682878
2017,4,5,May,anticyclonic,657492
2018,3,5,May,cyclonic,731163
2019,1,5,May,anticyclonic,727275
2019,1,5,May,cyclonic,770399
2021,3,5,May,cyclonic,830529
2022,3,5,May,non_eddy,
