year,cluster,month,month_abb,type,track
1994,5,6,Jun,anticyclonic,12178
1994,5,6,Jun,cyclonic,45624
1995,2,6,Jun,anticyclonic,54799
1996,6,6,Jun,cyclonic,100246
1997,6,6,Jun,non_eddy,
1998,5,6,Jun,non_eddy,
1999,5,6,Jun,non_eddy,
2001,6,6,Jun,anticyclonic,231365
2002,4,6,Jun,anticyclonic,243074
2002,4,6,Jun,cyclonic,273349
2004,5,6,Jun,non_eddy,
2005,6,6,Jun,non_eddy,
2006,5,6,Jun,non_eddy,
2007,4,6,Jun,anticyclonic,393232
2008,1,6,Jun,anticyclonic,424820
2008,1,6,Jun,cyclonic,425388
2009,6,6,Jun,non_eddy,
2010,3,6,Jun,non_eddy,
2011,6,6,Jun,cyclonic,529325
2011,6,6,Jun,cyclonic,535619
2012,6,6,Jun,cyclonic,570618
2013,5,6,Jun,cyclonic,598228
2013,5,6,Jun,cyclonic,601749
2014,5,6,Jun,non_eddy,
2015,5,6,Jun,cyclonic,656753
2016,3,6,Jun,cyclonic,682878
2017,2,6,Jun,non_eddy,
2018,5,6,Jun,cyclonic,747528
2018,5,6,Jun,cyclonic,749105
2019,4,6,Jun,anticyclonic,727275
2019,4,6,Jun,anticyclonic,732290
2021,6,6,Jun,cyclonic,830529
2022,2,6,Jun,non_eddy,
