year,cluster,month,month_abb,type,track
1993,4,7,Jul,non_eddy,
1994,2,7,Jul,cyclonic,45624
1995,8,7,Jul,anticyclonic,54799
1996,1,7,Jul,non_eddy,
1997,5,7,Jul,non_eddy,
1998,1,7,Jul,cyclonic,163662
1999,2,7,Jul,non_eddy,
2000,9,7,Jul,cyclonic,217753
2001,6,7,Jul,cyclonic,242332
2002,1,7,Jul,non_eddy,
2003,7,7,Jul,cyclonic,300043
2004,5,7,Jul,anticyclonic,320556
2005,6,7,Jul,non_eddy,
2006,2,7,Jul,anticyclonic,363593
2007,1,7,Jul,anticyclonic,393232
2008,4,7,Jul,anticyclonic,424820
2008,4,7,Jul,cyclonic,425388
2008,4,7,Jul,cyclonic,456060
2009,6,7,Jul,anticyclonic,457661
2010,1,7,Jul,non_eddy,
2011,4,7,Jul,cyclonic,529325
2012,7,7,Jul,cyclonic,570618
2013,1,7,Jul,cyclonic,601749
2014,1,7,Jul,non_eddy,
2015,5,7,Jul,cyclonic,656753
2016,5,7,Jul,cyclonic,682878
2017,5,7,Jul,non_eddy,
2018,7,7,Jul,cyclonic,749105
2019,3,7,Jul,anticyclonic,732290
2020,6,7,Jul,anticyclonic,762854
2021,1,7,Jul,non_eddy,
2022,5,7,Jul,non_eddy,
