year,cluster,month,month_abb,type,track
1993,6,8,Aug,non_eddy,
1994,8,8,Aug,non_eddy,
1995,4,8,Aug,anticyclonic,54799
1996,6,8,Aug,non_eddy,
1997,5,8,Aug,non_eddy,
1999,3,8,Aug,non_eddy,
2000,1,8,Aug,cyclonic,217753
2001,8,8,Aug,cyclonic,242332
2002,1,8,Aug,non_eddy,
2003,6,8,Aug,cyclonic,300043
2004,5,8,Aug,anticyclonic,320556
2005,4,8,Aug,non_eddy,
2006,3,8,Aug,anticyclonic,363593
2007,3,8,Aug,anticyclonic,403972
2008,9,8,Aug,anticyclonic,424820
2008,9,8,Aug,anticyclonic,432996
2009,5,8,Aug,anticyclonic,457661
2009,5,8,Aug,cyclonic,484634
2010,3,8,Aug,non_eddy,
2011,3,8,Aug,cyclonic,541666
2012,3,8,Aug,cyclonic,570618
2013,3,8,Aug,cyclonic,601749
2014,8,8,Aug,non_eddy,
2015,3,8,Aug,cyclonic,648821
2016,4,8,Aug,anticyclonic,652580
2017,4,8,Aug,non_eddy,
2018,2,8,Aug,cyclonic,749105
2019,7,8,Aug,anticyclonic,732290
2019,7,8,Aug,anticyclonic,737165
2019,7,8,Aug,cyclonic,783219
2020,7,8,Aug,anticyclonic,762854
2021,3,8,Aug,non_eddy,
2022,6,8,Aug,non_eddy,
