year,cluster,month,month_abb,type,track
1993,1,9,Sep,anticyclonic,22672
1994,5,9,Sep,anticyclonic,28799
1995,6,9,Sep,non_eddy,
1996,7,9,Sep,non_eddy,
1997,5,9,Sep,non_eddy,
1999,1,9,Sep,cyclonic,198420
2000,6,9,Sep,anticyclonic,199883
2001,5,9,Sep,non_eddy,
2002,5,9,Sep,non_eddy,
2003,1,9,Sep,anticyclonic,295154
2004,3,9,Sep,cyclonic,337462
2005,1,9,Sep,non_eddy,
2006,7,9,Sep,non_eddy,
2007,5,9,Sep,anticyclonic,403972
2008,2,9,Sep,anticyclonic,432996
2009,4,9,Sep,anticyclonic,457661
2009,4,9,Sep,cyclonic,484634
2010,1,9,Sep,non_eddy,
2011,5,9,Sep,anticyclonic,516991
2011,5,9,Sep,cyclonic,541666
2012,6,9,Sep,non_eddy,
2013,1,9,Sep,cyclonic,601749
2014,7,9,Sep,cyclonic,637882
2015,7,9,Sep,cyclonic,648821
2016,5,9,Sep,anticyclonic,652580
2017,5,9,Sep,anticyclonic,682450
2018,6,9,Sep,cyclonic,749105
2019,1,9,Sep,cyclonic,783219
2020,7,9,Sep,cyclonic,813728
2021,1,9,Sep,non_eddy,
2022,6,9,Sep,non_eddy,
