year,month,prob,prediction,non_eddy,cyclonic,anticyclonic,mode_water,depth,func,density,salinity,temperature
1988,10,0.712,non_eddy,0.712,0.288,0,0,400,min,0.033226516,-0.065072857,-0.490053333
1988,10,0.712,non_eddy,0.712,0.288,0,0,400,max,0.077453212,-0.018338095,-0.206099286
1988,10,0.712,non_eddy,0.712,0.288,0,0,400,median,0.05699126,-0.039828571,-0.371871905
1988,10,0.712,non_eddy,0.712,0.288,0,0,500,min,0.044424027,-0.096363095,-0.791774524
1988,10,0.712,non_eddy,0.712,0.288,0,0,500,max,0.107903757,0.032339167,-0.105521548
1988,10,0.712,non_eddy,0.712,0.288,0,0,500,median,0.078206918,-0.026663571,-0.453989881
1988,10,0.712,non_eddy,0.712,0.288,0,0,600,min,0.052651707,-0.149868254,-1.178915873
1988,10,0.712,non_eddy,0.712,0.288,0,0,600,max,0.146987267,-0.006679365,-0.261680952
1988,10,0.712,non_eddy,0.712,0.288,0,0,600,median,0.106475962,-0.090716667,-0.816776984
1988,10,0.712,non_eddy,0.712,0.288,0,0,700,min,0.039955683,-0.128796825,-1.201996032
1988,10,0.712,non_eddy,0.712,0.288,0,0,700,max,0.134891499,0.030103175,-0.064807143
1988,10,0.712,non_eddy,0.712,0.288,0,0,700,median,0.094460015,-0.060732143,-0.657796429
1988,10,0.712,non_eddy,0.712,0.288,0,0,800,min,0.053248095,-0.106557143,-1.053309524
1988,10,0.712,non_eddy,0.712,0.288,0,0,800,max,0.145716297,0.040261905,0.00537619
1988,10,0.712,non_eddy,0.712,0.288,0,0,800,median,0.098379579,-0.041395238,-0.637171429
1988,10,0.712,non_eddy,0.712,0.288,0,0,900,min,0.064427041,-0.059680952,-1.220880952
1988,10,0.712,non_eddy,0.712,0.288,0,0,900,max,0.134149611,0.052842857,-0.185414286
1988,10,0.712,non_eddy,0.712,0.288,0,0,900,median,0.100854748,-0.01162619,-0.718819048
1988,11,1,non_eddy,1,0,0,0,400,min,0.000696351,-0.056594286,-0.347040476
1988,11,1,non_eddy,1,0,0,0,400,max,0.035299483,0.027620952,0.04182
1988,11,1,non_eddy,1,0,0,0,400,median,0.017526455,-0.010140952,-0.122648571
1988,11,1,non_eddy,1,0,0,0,500,min,-0.008466042,-0.093255595,-0.525190873
1988,11,1,non_eddy,1,0,0,0,500,max,0.05397744,0.029319444,0.077466151
1988,11,1,non_eddy,1,0,0,0,500,median,0.022162964,-0.029368651,-0.231147877
1988,11,1,non_eddy,1,0,0,0,600,min,-0.014524325,-0.133078571,-0.965369841
1988,11,1,non_eddy,1,0,0,0,600,max,0.084671123,0.033130952,0.391863492
1988,11,1,non_eddy,1,0,0,0,600,median,0.035251122,-0.042711905,-0.233812698
1988,11,1,non_eddy,1,0,0,0,700,min,-0.020079022,-0.115490476,-0.668577778
1988,11,1,non_eddy,1,0,0,0,700,max,0.079365959,0.089554762,0.347469841
1988,11,1,non_eddy,1,0,0,0,700,median,0.029425815,-0.030879365,-0.166368254
1988,11,1,non_eddy,1,0,0,0,800,min,-0.025470138,-0.103304762,-0.786866667
1988,11,1,non_eddy,1,0,0,0,800,max,0.082947113,0.081414286,0.725547619
1988,11,1,non_eddy,1,0,0,0,800,median,0.027911211,-0.002504762,-0.164211905
1988,11,1,non_eddy,1,0,0,0,900,min,-0.048433614,-0.050980952,-0.961466667
1988,11,1,non_eddy,1,0,0,0,900,max,0.089608418,0.045328571,0.386738095
1988,11,1,non_eddy,1,0,0,0,900,median,0.031657783,-0.019014286,-0.188947619
1988,12,0.818,non_eddy,0.818,0.176,0.006,0,400,min,0.034456945,-0.153957143,-0.760253333
1988,12,0.818,non_eddy,0.818,0.176,0.006,0,400,max,0.07277626,-0.087843878,-0.436342857
1988,12,0.818,non_eddy,0.818,0.176,0.006,0,400,median,0.049789578,-0.12245,-0.595077143
1988,12,0.818,non_eddy,0.818,0.176,0.006,0,500,min,0.036414658,-0.240712698,-1.261915476
1988,12,0.818,non_eddy,0.818,0.176,0.006,0,500,max,0.102971039,-0.090924286,-0.460326803
1988,12,0.818,non_eddy,0.818,0.176,0.006,0,500,median,0.069594152,-0.164391905,-0.813180068
1988,12,0.818,non_eddy,0.818,0.176,0.006,0,600,min,0.012566856,-0.273880952,-1.288497619
1988,12,0.818,non_eddy,0.818,0.176,0.006,0,600,max,0.120045426,-0.047890476,-0.201240476
1988,12,0.818,non_eddy,0.818,0.176,0.006,0,600,median,0.053382337,-0.133835714,-0.718395238
1988,12,0.818,non_eddy,0.818,0.176,0.006,0,700,min,0.005856628,-0.210080952,-1.325440476
