year,month,depth,func,density,oxygen,salinity,temperature
1988,10,100,min,-0.200757430241133,-15.2678380952381,0.0508628571428531,-0.106692142857145
1988,10,100,max,0.0910845284498656,-8.09694285714286,0.0988590476190438,0.930731428571427
1988,10,100,median,-0.097241090156718,-11.9578380952381,0.0782285714285678,0.599169523809522
1988,10,100,mean,-0.0914944070295017,-11.8201524356869,0.0769661247947435,0.560092043010751
1988,10,200,min,-0.00323902724377589,-2.8305714285714,-0.0328485714285733,-0.373820000000002
1988,10,200,max,0.072468615515227,0.924692857142873,-0.00383571428571372,-0.00423857142857287
1988,10,200,median,0.0252360884470413,-1.03619999999998,-0.0166509523809495,-0.151712857142858
1988,10,200,mean,0.027661786912095,-1.01488459069019,-0.01502325770308,-0.156437495479206
1988,10,300,min,0.0171388322316126,-4.24826666666667,-0.0382114285714295,-0.395869999999999
1988,10,300,max,0.0710676866593403,3.56962857142858,-0.0204495238095248,-0.163239999999998
1988,10,300,median,0.0396559305705644,-1.83448095238094,-0.0286485714285689,-0.231892857142855
1988,10,300,mean,0.0415240100084666,-1.3547900742115,-0.0286488185654007,-0.24548333603896
1988,10,400,min,0.0332265157406582,-6.0506,-0.0650728571428516,-0.490053333333332
1988,10,400,max,0.0774532121296403,1.79188571428571,-0.0183380952380929,-0.206099285714284
1988,10,400,median,0.0569912595183766,-2.97147619047621,-0.039828571428572,-0.371871904761903
1988,10,400,mean,0.0559478347209089,-2.64747463768117,-0.0406078207282899,-0.363084758730158
1988,10,500,min,0.0444240272190015,-8.90211666666664,-0.0963630952380967,-0.791774523809522
1988,10,500,max,0.107903757017482,2.30192738095238,0.0323391666666666,-0.105521547619048
1988,10,500,median,0.078206917649986,-3.33044166666667,-0.0266635714285712,-0.453989880952381
1988,10,500,mean,0.0798358257569539,-3.27488242210464,-0.0260583038847142,-0.460155162748643
1988,10,600,min,0.0526517070614148,-10.5247222222226,-0.149868253968215,-1.17891587301586
1988,10,600,max,0.146987267493689,-2.33214285714323,-0.00667936507931444,-0.261680952380949
1988,10,600,median,0.106475961734819,-6.57138095238129,-0.0907166666666228,-0.816776984126987
1988,10,600,mean,0.106538633367777,-6.48462269412306,-0.0878745653816633,-0.790946536796534
1988,10,700,min,0.0399556831148615,-14.6024920634921,-0.128796825396826,-1.20199603174603
1988,10,700,max,0.134891499129896,-7.16969047619057,0.0301031746031768,-0.064807142857136
1988,10,700,median,0.0944600146471899,-11.199492063492,-0.0607321428571517,-0.657796428571429
1988,10,700,mean,0.0924441476672071,-11.322589991929,-0.0534548387096813,-0.629024367224364
1988,10,800,min,0.0532480948184357,-27.857,-0.106557142857142,-1.05330952380952
1988,10,800,max,0.145716296637026,-20.4135714285714,0.0402619047619055,0.00537619047619131
1988,10,800,median,0.0983795793778341,-25.2431428571429,-0.0413952380952374,-0.637171428571429
1988,10,800,mean,0.101301966722065,-25.1915282051282,-0.035965952380952,-0.630847883597883
1988,10,900,min,0.0644270410912533,-22.7524285714286,-0.0596809523809512,-1.22088095238095
1988,10,900,max,0.134149610714225,-17.0144761904762,0.0528428571428563,-0.185414285714288
1988,10,900,median,0.100854747515285,-20.0942857142857,-0.0116261904761892,-0.718819047619048
1988,10,900,mean,0.102640118352042,-20.0122522974102,-0.0114618437118447,-0.688938239538241
1988,10,1000,min,0.0306682820809883,3.87742857142857,-0.0157166666666697,-0.862254761904762
1988,10,1000,max,0.119413382841675,18.014,0.0280666666666676,-0.0859380952380953
1988,10,1000,median,0.0901636786837496,12.1305714285714,0.00523214285714246,-0.591902380952381
1988,10,1000,mean,0.0890484801898417,11.6169160997732,0.00670731292516688,-0.568696031746032
1988,11,100,min,-0.158758772979546,-0.745428571428562,-0.0203238095238163,-0.198372380952382
1988,11,100,max,0.0713584379474632,8.48252380952383,0.0502219047618979,0.722640000000002
1988,11,100,median,-0.0592518818629007,2.83406666666667,0.0207407142857114,0.432498571428573
1988,11,100,mean,-0.0545959870962804,3.01742080745342,0.018775054112549,0.404886330532213
1988,11,200,min,-0.033394066687606,5.50273333333334,-0.0367890476190524,-0.208066190476192
1988,11,200,max,0.0575359820263941,8.53933333333333,-0.0049314285714317,0.118896190476189
1988,11,200,median,-0.00932605995944336,6.71819047619047,-0.0169859523809563,0.0255647619047608
1988,11,200,mean,-0.0050620758160911,6.85042155939299,-0.0175271327254325,-0.00247430426716276
1988,11,300,min,-0.00503210702309787,1.61187142857142,-0.043455714285713,-0.273161904761906
1988,11,300,max,0.0330238508142031,7.39434761904761,-0.0115642857142859,-0.00854190476190553
1988,11,300,median,0.00682168702598318,4.03667142857144,-0.0231333333333339,-0.0944864285714306
1988,11,300,mean,0.00835433924326242,4.2151601953602,-0.0245777449370552,-0.102294014396458
1988,11,400,min,0.000696350984974004,-0.412052380952389,-0.0565942857142829,-0.347040476190479
1988,11,400,max,0.0352994832936808,9.02915238095238,0.027620952380957,0.0418199999999978
1988,11,400,median,0.0175264547503851,2.97655714285713,-0.0101409523809508,-0.122648571428574
1988,11,400,mean,0.0175606742240866,3.30859597069596,-0.0120748752834434,-0.129747038327527
1988,11,500,min,-0.00846604181672817,-2.7454726190476,-0.093255595238098,-0.525190873015873
1988,11,500,max,0.0539774396163288,5.45300595238095,0.0293194444444467,0.0774661507936507
1988,11,500,median,0.0221629642418542,0.156082936507971,-0.0293686507936499,-0.231147876984128
1988,11,500,mean,0.0227364948178197,0.528584613095264,-0.0303719382022478,-0.229774488095237
1988,11,600,min,-0.0145243249447198,6.39663492063505,-0.133078571428577,-0.965369841269847
1988,11,600,max,0.0846711230150028,15.2657936507937,0.0331309523809438,0.391863492063477
1988,11,600,median,0.03525112243649,10.0933968253969,-0.0427119047619087,-0.233812698412709
